point
a,1.5,0.587,0.556,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
a,1.5,0.555,0.527,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
a,1.5,0.526,0.5,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
a,1.5,0.499,0.4,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06

ou
full,5,0.0775
full,5.5,0.0583
full,6,0.0456
full,6.5,0.0623
full,7,0.071
full,7.5,0.0383
full,8,0.0385
full,8.5,0.056
full,9,0.0478
full,9.5,0.0395
full,10,0.0451
full,10.5,0.0479
full,11,0.046
full,11.5,0.0408
full,12,0.06
half,3,0.0837
half,3.5,0.0671
half,4,0.0672
half,4.5,0.0662
half,5,0.05
half,5.5,0.0591
half,6,0.0591

