"日職半場","ht_jp_baseball",13,"全部",150,20,60,81,NULL,"ht",799
"日職半場","ht_jp_baseball",11,"綜合過關",500,20,60,81,NULL,"ht",799
"足球半場","ht_soccer",15,"一輸二贏",100,20,60,75,"one_win","ht",NULL
"足球半場","ht_soccer",1,"讓分",100,20,60,75,"point","ht",NULL
"足球半場","ht_soccer",2,"大小",100,20,60,75,"ou","ht",NULL
"足球半場","ht_soccer",3,"獨贏",500,20,60,75,"ml","ht",NULL
"足球半場","ht_soccer",4,"單雙",100,20,60,75,"odd_even","ht",NULL
"足球半場","ht_soccer",5,"走地讓分",100,20,60,75,NULL,"ht",NULL
"足球半場","ht_soccer",6,"走地大小",100,20,60,75,NULL,"ht",NULL
"足球半場","ht_soccer",7,"波膽",500,20,60,75,NULL,"ht",NULL
"足球半場","ht_soccer",8,"總入球",500,20,60,75,NULL,"ht",NULL
"足球半場","ht_soccer",9,"半全場",500,20,60,75,NULL,"ht",NULL
"足球半場","ht_soccer",10,"讓分過關",525,20,60,75,NULL,"ht",NULL
"足球半場","ht_soccer",11,"綜合過關",500,20,60,75,NULL,"ht",NULL
"足球半場","ht_soccer",12,"標準過關",525,20,60,75,NULL,"ht",NULL
"足球半場","ht_soccer",13,"全部",100,20,60,75,NULL,"ht",NULL
"足球半場","ht_soccer",16,"三路",500,20,60,75,"three_way","ht",NULL
"中職半場","ht_tw_baseball",5,"走地讓分",150,20,60,81,NULL,"ht",1283
"中職半場","ht_tw_baseball",6,"走地大小",150,20,60,81,NULL,"ht",1283
"中職半場","ht_tw_baseball",14,"走地單雙",150,20,60,81,NULL,"ht",1283
"中職半場","ht_tw_baseball",7,"波膽",500,20,60,81,NULL,"ht",1283
"中職半場","ht_tw_baseball",8,"總入球",500,20,60,81,NULL,"ht",1283
"中職半場","ht_tw_baseball",13,"全部",150,20,60,81,NULL,"ht",1283
"中職半場","ht_tw_baseball",1,"讓分",160,20,60,81,"point","ht",1283
"中職半場","ht_tw_baseball",2,"大小",150,20,60,81,"ou","ht",1283
"中職半場","ht_tw_baseball",3,"獨贏",150,20,60,81,"ml","ht",1283
"中職半場","ht_tw_baseball",4,"單雙",150,20,60,81,"odd_even","ht",1283
"中職半場","ht_tw_baseball",15,"一輸二贏",150,20,60,81,"one_win","ht",1283
"中職半場","ht_tw_baseball",11,"綜合過關",500,20,60,81,"one_win","ht",1283
"美棒半場","ht_us_baseball",1,"讓分",160,20,60,81,"point","ht",723
"美棒半場","ht_us_baseball",2,"大小",150,20,60,81,"ou","ht",723
"美棒半場","ht_us_baseball",3,"獨贏",150,20,60,81,"ml","ht",723
"美棒半場","ht_us_baseball",4,"單雙",150,20,60,81,"odd_even","ht",723
"美棒半場","ht_us_baseball",15,"一輸二贏",150,20,60,81,"one_win","ht",723
"美棒半場","ht_us_baseball",5,"走地讓分",150,20,60,81,NULL,"ht",723
"美棒半場","ht_us_baseball",6,"走地大小",150,20,60,81,NULL,"ht",723
"美棒半場","ht_us_baseball",14,"走地單雙",150,20,60,81,NULL,"ht",723
"美棒半場","ht_us_baseball",7,"波膽",500,20,60,81,NULL,"ht",723
"美棒半場","ht_us_baseball",8,"總入球",500,20,60,81,NULL,"ht",723
"美棒半場","ht_us_baseball",13,"全部",150,20,60,81,NULL,"ht",723
"美棒半場","ht_us_baseball",11,"綜合過關",500,20,60,81,NULL,"ht",723
"冰球","icehockey",1,"讓分",160,20,60,76,"point",NULL,NULL
"冰球","icehockey",2,"大小",150,20,60,76,"ou",NULL,NULL
"冰球","icehockey",3,"獨贏",150,20,60,76,"ml",NULL,NULL
"冰球","icehockey",4,"單雙",150,20,60,76,"odd_even",NULL,NULL
"冰球","icehockey",5,"走地讓分",150,20,60,76,NULL,NULL,NULL
"冰球","icehockey",6,"走地大小",150,20,60,76,NULL,NULL,NULL
"冰球","icehockey",14,"走地單雙",150,20,60,76,NULL,NULL,NULL
"冰球","icehockey",15,"一輸二贏",150,20,60,76,"one_win",NULL,NULL
"冰球","icehockey",10,"讓分過關",500,20,60,76,NULL,NULL,NULL
"冰球","icehockey",11,"綜合過關",500,20,60,76,NULL,NULL,NULL
